accountid,reading_nov,usage_nov,bill_nov,penalty_nov,totalbill_nov,reading_dec,usage_dec,bill_dec,penalty_dec,totalbill_dec
0000000001-01-2010,3375.0,20.0,25.0,0.0,25.0,3404.0,29.0,43.0,0.0,43.0
0000000001-01-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000001-01-2018,7919.0,0.0,0.0,0.0,0.0,7929.0,10.0,25.0,0.0,25.0
0000000001-01-2019,8037.0,9.0,25.0,0.0,25.0,8046.0,9.0,25.0,0.0,25.0
0000000001-01-2020,9372.0,51.0,118.0,0.0,118.0,9489.0,117.0,316.0,0.0,316.0
0000000001-01-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000001-01-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000002-01-2010,538.0,28.0,41.0,0.0,41.0,579.0,41.0,67.0,0.0,67.0
0000000002-01-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000002-01-2018,7331.0,0.0,0.0,0.0,0.0,7368.0,37.0,76.0,0.0,76.0
0000000002-01-2019,7590.0,10.0,25.0,0.0,25.0,7630.0,40.0,85.0,0.0,85.0
0000000002-01-2020,8120.0,59.0,142.0,0.0,142.0,8130.0,10.0,25.0,0.0,25.0
0000000002-01-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000002-01-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000003-01-2010,7246.0,76.0,137.0,0.0,137.0,7348.0,102.0,189.0,0.0,189.0
0000000003-01-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000003-01-2018,3183.0,0.0,0.0,0.0,0.0,3183.0,0.0,0.0,0.0,0.0
0000000003-01-2019,3183.0,0.0,0.0,0.0,0.0,3183.0,0.0,0.0,0.0,0.0
0000000003-01-2020,643.0,194.0,547.0,0.0,547.0,829.0,186.0,523.0,0.0,523.0
0000000003-01-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000003-01-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000004-01-2010,47.0,1.0,25.0,0.0,25.0,48.0,1.0,25.0,0.0,25.0
0000000004-01-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000004-01-2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000004-01-2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000004-01-2020,1400.0,93.0,244.0,0.0,244.0,1493.0,93.0,244.0,0.0,244.0
0000000004-01-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000004-01-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000005-01-2010,838.0,19.0,25.0,0.0,25.0,865.0,27.0,39.0,0.0,39.0
0000000005-01-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000005-01-2018,2901.0,0.0,0.0,0.0,0.0,2921.0,20.0,0.0,0.0,0.0
0000000005-01-2019,3108.0,9.0,25.0,0.0,25.0,3128.0,20.0,25.0,0.0,25.0
0000000005-01-2020,3451.0,71.0,178.0,0.0,178.0,3457.0,6.0,25.0,0.0,25.0
0000000005-01-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000005-01-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000006-01-2010,17.0,1.0,25.0,0.0,25.0,18.0,1.0,25.0,0.0,25.0
0000000006-01-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000006-01-2018,13251.0,0.0,0.0,0.0,0.0,13260.0,9.0,25.0,0.0,25.0
0000000006-01-2019,13368.0,8.0,25.0,0.0,25.0,13378.0,10.0,25.0,0.0,25.0
0000000006-01-2020,1498.0,0.0,0.0,0.0,0.0,1498.0,0.0,0.0,0.0,0.0
0000000006-01-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000006-01-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000007-01-2010,2481.0,86.0,157.0,0.0,157.0,2592.0,111.0,207.0,0.0,207.0
0000000007-01-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000007-01-2018,10124.0,0.0,0.0,0.0,0.0,10216.0,92.0,241.0,0.0,241.0
0000000007-01-2019,10847.0,0.0,0.0,0.0,0.0,11137.0,0.0,0.0,0.0,0.0
0000000007-01-2020,819.0,86.0,223.0,0.0,223.0,925.0,106.0,283.0,0.0,283.0
0000000007-01-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000007-01-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000008-01-2010,4581.0,36.0,57.0,0.0,57.0,4624.0,43.0,71.0,0.0,71.0
0000000008-01-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000008-01-2018,4732.0,0.0,0.0,0.0,0.0,4732.0,0.0,0.0,0.0,0.0
0000000008-01-2019,4732.0,0.0,0.0,0.0,0.0,4732.0,0.0,0.0,0.0,0.0
0000000008-01-2020,134.0,47.0,106.0,0.0,106.0,190.0,56.0,133.0,0.0,133.0
0000000008-01-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000008-01-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000009-01-2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000009-01-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000009-01-2018,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000009-01-2019,293.0,0.0,0.0,0.0,0.0,293.0,0.0,0.0,0.0,0.0
0000000009-01-2020,293.0,0.0,0.0,0.0,0.0,293.0,0.0,0.0,0.0,0.0
0000000009-01-2021,293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000009-01-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000010-01-2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000010-01-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000010-01-2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000010-01-2019,171.0,40.0,85.0,0.0,85.0,182.0,11.0,25.0,0.0,25.0
0000000010-01-2020,322.0,61.0,148.0,0.0,148.0,332.0,10.0,25.0,0.0,25.0
0000000010-01-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000010-01-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000011-01-2010,17.0,1.0,25.0,0.0,25.0,18.0,1.0,25.0,0.0,25.0
0000000011-01-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000011-01-2018,976.0,0.0,0.0,0.0,0.0,976.0,0.0,0.0,0.0,0.0
0000000011-01-2019,976.0,0.0,0.0,0.0,0.0,976.0,0.0,0.0,0.0,0.0
0000000011-01-2020,976.0,0.0,0.0,0.0,0.0,976.0,0.0,0.0,0.0,0.0
0000000011-01-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000011-01-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000012-01-2010,4827.0,1.0,25.0,0.0,25.0,4828.0,1.0,25.0,0.0,25.0
0000000012-01-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000012-01-2018,1926.0,0.0,0.0,0.0,0.0,1928.0,2.0,25.0,0.0,25.0
0000000012-01-2019,2044.0,2.0,25.0,0.0,25.0,2069.0,25.0,40.0,0.0,40.0
0000000012-01-2020,2450.0,19.0,25.0,0.0,25.0,2478.0,28.0,49.0,0.0,49.0
0000000012-01-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000012-01-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000013-01-2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
