Bill ID,Con ID,Bill Type,Previous Reading,Current Reading,Reading Date,Consumption,Current Due,Paid Flag
1,14,1,0,2032,2010-01-01,0,4049.00,1
2,16,1,0,4199,2010-01-01,0,8383.00,1
3,18,1,0,3075,2010-01-01,0,6135.00,0
4,21,1,0,748,2010-01-01,0,1481.00,0
5,22,1,0,1641,2010-01-01,0,3267.00,1
6,24,1,0,1500,2010-01-01,0,2985.00,1
7,26,1,0,2802,2010-01-01,0,5589.00,1
8,28,1,0,1702,2010-01-01,0,3389.00,1
9,30,1,0,2539,2010-01-01,0,5063.00,1
10,34,1,0,1761,2010-01-01,1761,3507.00,1
11,35,1,0,1553,2010-01-01,0,3091.00,1
12,43,1,0,64,2010-01-01,0,113.00,0
13,45,1,0,998,2010-01-01,0,1981.00,1
14,47,1,0,278,2010-01-01,0,541.00,1
15,50,1,0,599,2010-01-01,0,1183.00,1
16,52,1,0,2786,2010-01-01,0,5557.00,1
17,54,1,0,467,2010-01-01,0,919.00,1
18,56,1,0,2156,2010-01-01,0,4297.00,1
19,57,1,0,1441,2010-01-01,0,2867.00,1
20,59,1,0,259,2010-01-01,0,503.00,1
21,62,1,0,2186,2010-01-01,0,4357.00,1
22,64,1,0,3989,2010-01-01,0,7963.00,1
23,67,1,0,1839,2010-01-01,0,3663.00,1
24,69,1,0,1926,2010-01-01,0,3837.00,1
25,71,1,0,87,2010-01-01,0,159.00,1
26,72,1,0,6514,2010-01-01,0,13013.00,1
27,74,1,0,3170,2010-01-01,0,6325.00,1
28,76,1,0,1580,2010-01-01,0,3145.00,1
29,78,1,0,2568,2010-01-01,0,5121.00,1
30,80,1,0,3592,2010-01-01,0,7169.00,1
31,1034,1,0,3635,2010-01-01,3635,7255.00,1
32,1004,1,0,1546,2010-01-01,0,3077.00,1
33,84,1,0,3867,2010-01-01,0,7719.00,1
34,86,1,0,2383,2010-01-01,0,4751.00,1
35,88,1,0,186,2010-01-01,0,357.00,1
36,90,1,0,2662,2010-01-01,0,5309.00,1
37,92,1,0,3480,2010-01-01,0,6945.00,1
38,94,1,0,5999,2010-01-01,0,11983.00,1
39,95,1,0,2858,2010-01-01,0,5701.00,1
40,96,1,0,2965,2010-01-01,0,5915.00,1
41,97,1,0,289,2010-01-01,0,563.00,1
42,1035,1,0,4846,2010-01-01,0,9677.00,1
43,1036,1,0,622,2010-01-01,0,1229.00,0
44,102,1,0,175,2010-01-01,0,335.00,1
45,89,1,0,4765,2010-01-01,0,9515.00,1
46,107,1,0,3777,2010-01-01,0,7539.00,1
47,109,1,0,3220,2010-01-01,0,6425.00,1
48,110,1,0,2755,2010-01-01,0,5495.00,1
49,112,1,0,2181,2010-01-01,0,4347.00,1
50,114,1,0,3374,2010-01-01,0,6733.00,1
51,116,1,0,18,2010-01-01,0,25.00,1
52,118,1,0,4303,2010-01-01,0,8591.00,1
53,120,1,0,3922,2010-01-01,0,7829.00,1
54,121,1,0,266,2010-01-01,0,517.00,1
55,125,1,0,2568,2010-01-01,0,5121.00,1
56,127,1,0,2486,2010-01-01,0,4957.00,1
57,128,1,0,1026,2010-01-01,0,2037.00,1
58,131,1,0,3315,2010-01-01,0,6615.00,1
59,133,1,0,35,2010-01-01,0,55.00,1
60,136,1,0,322,2010-01-01,0,629.00,1
61,138,1,0,231,2010-01-01,0,447.00,1
62,140,1,0,3995,2010-01-01,0,7975.00,1
63,143,1,0,350,2010-01-01,0,685.00,1
64,146,1,0,200,2010-01-01,0,385.00,1
65,148,1,0,1381,2010-01-01,0,2747.00,1
66,149,1,0,155,2010-01-01,0,295.00,1
67,151,1,0,421,2010-01-01,0,827.00,1
68,152,1,0,3604,2010-01-01,0,7193.00,1
69,153,1,0,640,2010-01-01,0,1265.00,1
70,155,1,0,304,2010-01-01,0,593.00,1
71,157,1,0,1763,2010-01-01,0,3511.00,1
72,159,1,0,6,2010-01-01,0,25.00,1
73,161,1,0,2398,2010-01-01,0,4781.00,0
74,162,1,0,3347,2010-01-01,0,6679.00,1
75,164,1,0,3469,2010-01-01,0,6923.00,1
76,167,1,0,5339,2010-01-01,0,10663.00,1
77,169,1,0,388,2010-01-01,0,761.00,1
78,170,1,0,680,2010-01-01,0,1345.00,1
79,171,1,0,8,2010-01-01,0,25.00,1
80,172,1,0,74,2010-01-01,74,133.00,1
81,184,1,0,1925,2010-01-01,1925,3835.00,1
82,192,1,0,845,2010-01-01,0,1675.00,1
83,196,1,0,1192,2010-01-01,0,2369.00,1
84,198,1,0,1030,2010-01-01,0,2045.00,1
85,201,1,0,828,2010-01-01,0,1641.00,1
86,1037,1,0,2708,2010-01-01,0,5401.00,1
87,208,1,0,1615,2010-01-01,0,3215.00,1
88,212,1,0,5863,2010-01-01,0,11711.00,1
89,214,1,0,120,2010-01-01,0,225.00,1
90,218,1,0,159,2010-01-01,0,303.00,1
91,222,1,0,1288,2010-01-01,0,2561.00,1
92,226,1,0,20,2010-01-01,0,25.00,1
93,228,1,0,195,2010-01-01,0,375.00,1
94,230,1,0,95,2010-01-01,0,175.00,1
95,235,1,0,2680,2010-01-01,0,5345.00,0
96,238,1,0,4560,2010-01-01,0,9105.00,1
97,242,1,0,1042,2010-01-01,0,2069.00,1
98,244,1,0,4558,2010-01-01,0,9101.00,1
99,249,1,0,94,2010-01-01,0,173.00,0
100,253,1,0,1990,2010-01-01,0,3965.00,1
101,256,1,0,5006,2010-01-01,5006,9997.00,1
102,1009,1,0,3057,2010-01-01,0,6099.00,1
103,1003,1,0,4625,2010-01-01,0,9235.00,1
104,264,1,0,3890,2010-01-01,0,7765.00,1
105,269,1,0,5422,2010-01-01,0,10829.00,1
106,276,1,0,2638,2010-01-01,0,5261.00,1
107,281,1,0,6115,2010-01-01,0,12215.00,1
108,287,1,0,3656,2010-01-01,0,7297.00,1
109,300,1,0,10,2010-01-01,10,25.00,1
110,302,1,0,716,2010-01-01,0,1417.00,1
111,304,1,0,353,2010-01-01,0,691.00,1
112,307,1,0,172,2010-01-01,0,329.00,1
113,308,1,0,2410,2010-01-01,0,4805.00,1
114,310,1,0,444,2010-01-01,0,873.00,1
115,313,1,0,210,2010-01-01,0,405.00,1
116,320,1,0,159,2010-01-01,0,303.00,1
117,322,1,0,1180,2010-01-01,0,2345.00,1
118,632,1,0,3199,2010-01-01,0,6383.00,1
119,633,1,0,125,2010-01-01,0,235.00,1
120,636,1,0,3917,2010-01-01,3917,7819.00,1
121,638,1,0,190,2010-01-01,190,365.00,1
122,1038,1,0,303,2010-01-01,0,591.00,1
123,642,1,0,2303,2010-01-01,0,4591.00,1
124,643,1,0,8923,2010-01-01,0,17831.00,1
125,645,1,0,7694,2010-01-01,0,15373.00,1
126,646,1,0,7830,2010-01-01,0,15645.00,1
127,664,1,0,2280,2010-01-01,0,4545.00,1
128,665,1,0,441,2010-01-01,0,867.00,1
129,666,1,0,1810,2010-01-01,0,3605.00,1
130,667,1,0,1040,2010-01-01,0,2065.00,0
131,1088,1,0,1529,2010-01-01,0,3043.00,1
132,669,1,0,2150,2010-01-01,0,4285.00,1
133,670,1,0,3214,2010-01-01,0,6413.00,1
134,671,1,0,3202,2010-01-01,0,6389.00,1
135,1039,1,0,155,2010-01-01,0,295.00,1
136,680,1,0,2398,2010-01-01,0,4781.00,1
137,682,1,0,3411,2010-01-01,0,6807.00,0
138,684,1,0,1206,2010-01-01,0,2397.00,1
139,685,1,0,5290,2010-01-01,0,10565.00,1
140,687,1,0,275,2010-01-01,0,535.00,1
141,689,1,0,3037,2010-01-01,0,6059.00,1
142,691,1,0,6,2010-01-01,0,25.00,1
143,692,1,0,3653,2010-01-01,3653,7291.00,1
144,693,1,0,6553,2010-01-01,0,13091.00,1
145,695,1,0,6196,2010-01-01,6196,12377.00,1
